RecordingDate,2021/06/16 14:19:23
WindowSize,1936×1056

PlayScene,TapObjectName,TapPointX,TapPointY,TapTime[ms],isClickable
前説,NextPageAfterImage,1732,965,4662,True
前説,NextPageAfterImage,1732,965,4848,True
前説,NextPageAfterImage,1732,965,5486,True
前説,BranchButton1Image,956,275,7152,True
漫画購読,MangaFlipArrowImage,1559,949,8460,True
漫画購読,MangaFlipArrowImage,1559,949,8638,True
漫画購読,NextPageAfterImage,1665,967,9261,True
チャレンジタイム 開始,NextPageAfterImage,1707,973,10094,True
チャレンジタイム！パート①,BackgroundImage,1707,973,10274,True
チャレンジタイム！パート①,GoodEventSelectListBox1,596,269,11833,True
チャレンジタイム！パート①,GoodEventSelectListBox1,586,340,12194,True
チャレンジタイム！パート①,GoodEventSelectListBox1,600,439,12482,True
チャレンジタイム！パート①,GoodEventSelectListBox1,550,524,12748,True
チャレンジタイム！パート①,GoodEventSelectListBox1,588,603,12988,True
チャレンジタイム！パート①,GoodEventSelectListBox1,646,696,13315,True
チャレンジタイム！パート①,GoodEventSelectListBox1,722,796,13704,True
チャレンジタイム！パート①,GoodEventSelectListBox1,740,760,14060,True
チャレンジタイム！パート①,GoodEventSelectListBox2,1111,273,16038,True
チャレンジタイム！パート①,GoodEventSelectListBox2,1126,348,16427,True
チャレンジタイム！パート①,GoodEventSelectListBox2,1133,429,16823,True
チャレンジタイム！パート①,GoodEventSelectListBox2,1210,537,17134,True
チャレンジタイム！パート①,GoodEventSelectListBox2,1217,528,17523,True
チャレンジタイム！パート①,GoodEventSelectListBox2,1224,617,17819,True
チャレンジタイム！パート①,GoodEventSelectListBox2,1275,696,18162,True
チャレンジタイム！パート①,GoodEventSelectListBox2,1261,771,18457,True
チャレンジタイム！パート①,ChallengeNextImage,1667,956,21462,True
元気が出ないときはどうしよう？,NextMessageArrowDownImage,1573,869,22622,True
元気が出ないときはどうしよう？,NextMessageArrowDownImage,1573,869,22777,True
元気が出ないときはどうしよう？,NextMessageArrowDownImage,1597,872,23407,True
元気が出ないときはどうしよう？,NextMessageArrowDownImage,1576,880,24108,True
元気が出ないときはどうしよう？,NextPageAfterImage,1710,956,24871,True
アイテム登場,NextPageAfterImage,1710,956,25507,True
アイテム登場,NextPageAfterImage,1710,956,26029,True
チャレンジタイムパート②　開始！,NextPageAfterImage,1710,956,26529,True
チャレンジタイムパート②　開始！,NextPageAfterImage,1722,938,29440,True
チャレンジタイムパート②,NextPageAfterImage,1722,938,29620,True
チャレンジタイムパート②,ChallengeNextImage,1719,939,30957,True
チャレンジタイムパート②「おいしいものを食べる」ときは？,SizeOfFeelingButton,1250,836,31783,True
チャレンジタイムパート②「おいしいものを食べる」ときは？,NextPageAfterImage,1744,966,32828,True
チャレンジタイムパート②「おいしいものを食べる」ときは？,AosukeDifficultyOfActionText,1544,697,33241,True
チャレンジタイムパート②「おいしいものを食べる」ときは？,GoodButtonImage,572,519,35199,True
チャレンジタイムパート②「おいしいものを食べる」ときは？,ChallengeNextImage,1638,919,35964,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SizeOfFeelingButton,1228,838,36485,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SelectNeedleImage,962,617,37453,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SelectHeartImage,1063,461,40794,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SelectHeartImage,1041,467,42110,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SelectNeedleImage,1006,578,43129,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SelectNeedleImage,1184,662,49343,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SelectNeedleImage,1022,635,54845,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SelectHeartImage,1114,574,62429,True
チャレンジタイムパート②「全部のテストで100点をとる」ときは？,SelectNeedleImage,1099,600,64143,True
