RecordingDate,2021/06/16 15:01:27
WindowSize,800×600

PlayScene,TapObjectName,TapPointX,TapPointY,TapTime[ms],isClickable
前回のおさらい,NextPageAfterImage,769,476,1107,True
前回のおさらい,NextPageAfterImage,769,476,1262,True
前回のおさらい,NextPageAfterImage,769,476,1425,True
前回のおさらい,BackgroundImage,769,476,1581,True
前回のおさらい,BackgroundImage,769,476,1767,True
前回のおさらい,BranchButton1Image,504,187,2613,True
漫画購読,MangaFlipArrowImage,721,470,3453,True
漫画購読,MangaFlipArrowImage,721,470,3642,True
漫画購読,NextPageAfterImage,721,470,3788,True
チャレンジタイム 開始,NextPageAfterImage,721,470,3984,False
チャレンジタイム 開始,BackgroundImage,721,470,4138,False
チャレンジタイム 開始,NextPageAfterImage,721,470,4428,True
日直を任された場面のきもち,BackgroundImage,721,470,4606,True
日直を任された場面のきもち,BackgroundImage,721,470,4770,True
日直を任された場面のきもち,KindOfFeelingButtonImage,391,349,5381,True
日直を任された場面のきもち,SelectGoodFeelingListBox,280,340,6980,True
日直を任された場面のきもち,SelectBadFeelingListBox,461,207,8611,True
日直を任された場面のきもち,ChallengeBackImage,89,452,9250,True
日直を任された場面のきもち,SizeOfFeelingText,604,367,10014,True
日直を任された場面のきもち,ChallengeBackImage,72,461,11614,True
日直を任された場面のきもち,ChallengeNextImage,689,442,12591,True
赤丸くんにたのまれた場面のきもち,KindOfFeelingButtonImage,415,359,13620,True
赤丸くんにたのまれた場面のきもち,SelectBadFeelingListBox,465,175,14586,True
赤丸くんにたのまれた場面のきもち,ChallengeBackImage,117,448,15391,True
赤丸くんにたのまれた場面のきもち,SizeOfFeelingText,572,368,16045,True
赤丸くんにたのまれた場面のきもち,SelectNeedleImage,393,349,16936,True
赤丸くんにたのまれた場面のきもち,ChallengeBackImage,112,457,18261,True
赤丸くんにたのまれた場面のきもち,ChallengeNextImage,689,464,19092,True
キミちゃんはどうしていやなきもちになったんだろう？,NextMessageArrowDownImage,659,436,19988,True
キミちゃんはどうしていやなきもちになったんだろう？,MainMessageBubbleImage,659,436,20165,False
キミちゃんはどうしていやなきもちになったんだろう？,NextMessageArrowDownImage,659,436,20329,True
