start
scene,前説
reset
image,bg_image,background_02.png
image,children_face_left_image,aosuke_face_01.png
image,main_msg_bubble_image,left_big_bubble_blue.png
grid,main_msg_grid,appear_expansion
bgm,set,もくもくStudy♪.mp3,loop,50
bgm,play
text,music_title_text,もくもくStudy♪
text,composer_name_text,しゅんじ～
grid,music_info_grid,slide,no_sync
wait
msg,main_msg,前回のこころあっぷタイムでは、うきうきシューズをつかって、みんなでいっしょに勉強したね,青助
next
hide,button,next_page_button
hide,button,back_page_button
hide,grid,main_msg_grid
hide,image,children_face_left_image
image,item_center_image,item02_solo.png
next
hide,button,next_page_button
hide,button,back_page_button
hide,image,item_center_image
image,shiroji_right_image,shiroji_01.png,appear_up
clear,text,main_msg
image,main_msg_bubble_image,right_big_bubble.png
grid,main_msg_grid,appear_expansion
wait
msg,main_msg,うきうきシューズを使うときは、3つのポイントがあったのう。みんなはおぼえておるか？フォッ、フォッ、フォッ！,白じい
next
hide,button,next_page_button
hide,button,back_page_button
hide,grid,main_msg_grid
hide,image,shiroji_right_image
grid,memory_check_grid

