scene,main
bg,background_02.png
hide,msg
chara,shiroji_01.png,right,appear
visible,msg
wait
msg,今日は、「こころあっぷタイム」に登場する３人を紹介する。,right,白じい
hide,msg
chara,akamaru.png,left_a,appear
msg,おれの名前は 赤丸だ。小学校6年だ。好きな食べ物はカレーとコーラだ。苦手なものは犬だ。,left_a,赤丸
wait
hide,chara,left_a,disappear
chara,aosuke.png,left_b,appear
msg,ぼくの名前は青助です。小学校6年生です。好きなものはテレビ。勉強もスポーツも あんまり得意じゃないんだ。,left_b,青助
wait
hide,chara,left_b,disappear
chara,kimil.png,left_c,appear
msg,わたしの名前はキミです。小学６年生です。好きなものはチョコレートです。人前で話すことがとても苦手です。,left_c,キミ
wait
hide,chara,left_c,disappear
next

