RecordingDate,2021/06/16 15:03:16
WindowSize,800×600

PlayScene,TapObjectName,TapPointX,TapPointY,TapTime[ms],isClickable
前回のおさらい,NextPageAfterImage,719,478,971,True
前回のおさらい,NextPageAfterImage,719,478,1139,True
前回のおさらい,BackgroundImage,719,478,1282,False
前回のおさらい,NextPageAfterImage,719,478,1438,True
前回のおさらい,BackgroundImage,719,478,1609,True
前回のおさらい,BackgroundImage,719,478,1773,True
前回のおさらい,ImRememberImage,508,245,2416,True
漫画購読,MangaFlipArrowImage,741,475,2968,True
漫画購読,MangaFlipArrowImage,741,475,3132,True
漫画購読,NextPageAfterImage,741,475,3280,True
赤丸くんのからだの変化,BackgroundImage,741,475,3435,False
赤丸くんのからだの変化,NextPageAfterImage,741,475,3600,True
赤丸くんのからだの変化,NextPageAfterImage,741,475,3748,True
赤丸くんのからだの変化,NextPageAfterImage,741,475,3926,False
赤丸くんのからだの変化,BackgroundImage,741,475,4100,False
赤丸くんのからだの変化,NextPageAfterImage,741,475,4269,True
チャレンジタイム！開始,NextPageAfterImage,741,475,4439,False
チャレンジタイム！開始,NextPageAfterImage,741,475,4622,True
チャレンジタイム！パート①開始,NextPageAfterImage,741,475,5115,True
チャレンジタイム！パート①開始,NextPageAfterImage,741,475,5598,True
キミちゃんのからだの変化,BodyImageOfKimiBubble1Button,208,129,6645,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,382,277,7284,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,78,319,8656,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,136,304,9173,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,187,337,9524,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,248,317,9898,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,300,279,10303,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,437,343,10997,True
キミちゃんのからだの変化,CompleteInputButton,721,129,11769,True
キミちゃんのからだの変化,BodyImageOfKimiBubble2Button,229,239,12425,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,149,293,12979,True
キミちゃんのからだの変化,LeftBodyImageOfKimiBubbleCanvasBorder,33,373,13479,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,46,358,14213,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,49,377,14962,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,129,319,16167,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,289,329,17199,True
キミちゃんのからだの変化,CompleteInputButton,744,122,18269,True
キミちゃんのからだの変化,BodyImageOfKimiBubble3Button,210,326,31571,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,180,301,32139,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,182,313,32560,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,198,362,33065,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,207,381,33423,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,249,298,33789,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,259,294,34086,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,299,319,34484,True
キミちゃんのからだの変化,CompleteInputButton,728,115,37295,True
キミちゃんのからだの変化,BodyImageOfKimiBubble4Button,160,438,38151,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,101,317,38689,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,292,338,39650,True
キミちゃんのからだの変化,LeftBodyImageOfKimiBubbleCanvasBorder,507,249,40344,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,442,286,40873,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,427,325,41270,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,462,330,41669,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,512,288,42232,True
キミちゃんのからだの変化,LeftBodyImageOfKimiCanvas,491,316,42575,True
キミちゃんのからだの変化,CompleteInputButton,718,132,43544,True
キミちゃんのからだの変化,BodyImageOfKimiBubble5Button,592,146,43985,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,272,306,44641,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,299,322,45024,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,327,389,45734,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,378,389,45991,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,307,418,46225,True
キミちゃんのからだの変化,RightBodyImageOfKimiBubbleCanvasText,406,251,46740,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,451,290,47387,True
キミちゃんのからだの変化,CompleteInputButton,733,123,50113,True
キミちゃんのからだの変化,BodyImageOfKimiBubble6Button,579,249,50697,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,277,307,51655,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,255,350,52076,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,296,382,52628,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,271,346,53119,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,307,433,53539,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,317,439,53858,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,335,414,54745,True
キミちゃんのからだの変化,CompleteInputButton,731,133,56210,True
キミちゃんのからだの変化,BodyImageOfKimiBubble7Button,613,329,56910,True
キミちゃんのからだの変化,RightBodyImageOfKimiCanvas,265,301,69261,True
キミちゃんのからだの変化,CompleteInputButton,733,119,71847,True
キミちゃんのからだの変化,NextPageAfterImage,711,470,72845,True
キミちゃんのからだの変化,NextPageAfterImage,711,470,73020,False
キミちゃんのからだの変化,NextPageAfterImage,711,470,73241,True
チャレンジタイム！パート②開始,NextPageAfterImage,711,470,73499,True
チャレンジタイム！パート②開始,BackgroundImage,711,470,73687,False
チャレンジタイム！パート②開始,BackgroundImage,711,470,73844,False
チャレンジタイム！パート②開始,BackgroundImage,711,470,74045,True
チャレンジタイム！パート②開始,MainMessageBubbleImage,661,418,74408,True
チャレンジタイム！パート②開始,NextMessageArrowDownImage,662,436,74704,True
チャレンジタイム！パート②開始,MainMessageBubbleImage,662,436,74890,False
チャレンジタイム！パート②開始,MainMessageBubbleImage,662,436,75045,True
チャレンジタイム！パート②開始,MainMessageBubbleImage,662,436,75223,True
チャレンジタイム！パート②開始,NextPageAfterImage,710,476,75499,True
わからない問題,BackgroundImage,710,476,75700,True
わからない問題,BackgroundImage,710,476,75855,True
わからない問題,KindOfFeelingInputButton,458,202,78035,True
わからない問題,SelectBadFeelingListBox,464,359,81951,True
わからない問題,NextPageAfterImage,711,489,82513,True
わからない問題,None,480,207,86515,True
わからない問題,SelectBadFeelingListBox,470,183,89168,True
わからない問題,NextPageAfterImage,747,476,90314,True
わからない問題,SizeOfFeelingInputButton,649,199,91040,True
わからない問題,SelectNeedleImage,391,322,92027,True
わからない問題,NextPageAfterImage,729,473,93179,True
わからない問題,,530,341,94014,True
わからない問題,InputMyBodyImageCanvas,67,226,95852,True
わからない問題,InputMyBodyImageCanvas,81,230,96286,True
わからない問題,InputMyBodyImageCanvas,79,285,96707,True
わからない問題,InputMyBodyImageCanvas,83,294,97159,True
わからない問題,InputMyBodyImageCanvas,181,312,97571,True
わからない問題,InputMyBodyImageCanvas,201,253,98061,True
わからない問題,InputMyBodyImageCanvas,232,299,98443,True
わからない問題,InputMyBodyImageCanvas,305,268,98811,True
わからない問題,InputMyBodyImageCanvas,306,304,99106,True
わからない問題,InputMyBodyImageCanvas,423,255,99690,True
わからない問題,InputMyBodyImageCanvas,456,231,100015,True
わからない問題,InputMyBodyImageCanvas,554,234,100376,True
わからない問題,InputMyBodyImageCanvas,526,307,100672,True
わからない問題,InputMyBodyImageCanvas,611,283,101326,True
わからない問題,InputMyBodyImageCanvas,299,396,102277,True
わからない問題,InputMyBodyImageCanvas,478,374,103229,True
わからない問題,InputMyBodyImageCanvas,562,376,103611,True
わからない問題,CompleteInputButton,752,134,104569,True
わからない問題,NextPageAfterImage,747,484,105433,True
リコーダー問題,KindOfFeelingInputButton,481,203,106454,True
リコーダー問題,SelectBadFeelingListBox,481,343,109079,True
リコーダー問題,NextPageAfterImage,695,476,109822,True
リコーダー問題,SizeOfFeelingInputButton,614,204,110436,True
リコーダー問題,SelectNeedleImage,387,305,111270,True
リコーダー問題,NextPageAfterImage,715,470,112239,True
リコーダー問題,,600,375,112917,True
リコーダー問題,InputMyBodyImageCanvas,74,235,113714,True
リコーダー問題,InputMyBodyImageCanvas,100,223,114079,True
リコーダー問題,InputMyBodyImageCanvas,144,253,114523,True
リコーダー問題,InputMyBodyImageCanvas,147,323,115007,True
リコーダー問題,InputMyBodyImageCanvas,266,301,115413,True
リコーダー問題,InputMyBodyImageCanvas,449,238,115786,True
リコーダー問題,InputMyBodyImageCanvas,456,300,116591,True
リコーダー問題,InputMyBodyImageCanvas,513,256,116965,True
リコーダー問題,InputMyBodyImageCanvas,546,255,117239,True
リコーダー問題,InputMyBodyImageCanvas,587,309,117511,True
リコーダー問題,InputMyBodyImageCanvas,241,373,118189,True
リコーダー問題,InputMyBodyImageCanvas,332,364,118746,True
リコーダー問題,InputMyBodyImageCanvas,458,375,119977,True
リコーダー問題,InputMyBodyImageCanvas,518,380,120468,True
リコーダー問題,InputMyBodyImageCanvas,594,414,121544,True
リコーダー問題,InputMyBodyImageCanvas,732,372,122488,True
リコーダー問題,CompleteInputButton,753,121,123533,True
リコーダー問題,NextPageAfterImage,711,473,124406,True
アイテム出現,NextPageAfterImage,711,473,125077,True
アイテム出現,BackgroundImage,711,473,125232,False
アイテム出現,NextPageAfterImage,711,473,125395,True
アイテム紹介,NextPageAfterImage,711,473,125615,True
リラックスの方法,NextPageAfterImage,711,473,126262,True
リラックスの方法,NextPageAfterImage,711,473,126442,True
リラックスの方法,NextPageAfterImage,711,473,126613,True
リラックスの方法,NextPageAfterImage,711,473,127046,True
チャレンジタイム！パート③開始,NextPageAfterImage,711,473,127192,True
チャレンジタイム！パート③開始,BackgroundImage,711,473,127355,False
チャレンジタイム！パート③開始,NextPageAfterImage,711,473,127519,True
深呼吸をやってみよう,BackgroundImage,711,473,127877,False
深呼吸をやってみよう,DeepBreathBoardImage,527,377,128941,False
深呼吸をやってみよう,DeepBreathBoardImage,527,377,129106,False
深呼吸をやってみよう,DeepBreathBoardImage,527,377,129273,False
深呼吸をやってみよう,DeepBreathBoardImage,527,377,129407,False
深呼吸をやってみよう,DeepBreathBoardImage,529,376,129556,False
深呼吸をやってみよう,DeepBreathTextBlock,528,370,129705,False
深呼吸をやってみよう,DeepBreathTextBlock,526,367,129860,False
深呼吸をやってみよう,DeepBreathTextBlock,520,368,130010,False
深呼吸をやってみよう,DeepBreathTextBlock,514,371,130157,False
深呼吸をやってみよう,DeepBreathTextBlock,515,371,130312,False
深呼吸をやってみよう,DeepBreathBoardImage,507,376,130469,False
深呼吸をやってみよう,DeepBreathBoardImage,507,381,130624,False
深呼吸をやってみよう,DeepBreathBoardImage,510,381,130773,False
深呼吸をやってみよう,DeepBreathBoardImage,521,379,145712,False
