RecordingDate,2021/06/16 15:56:04
WindowSize,800×600

PlayScene,TapObjectName,TapPointX,TapPointY,TapTime[ms],isClickable
前回のおさらい,NextPageAfterImage,731,476,1067,True
前回のおさらい,NextPageAfterImage,731,476,1237,True
前回のおさらい,BackgroundImage,731,476,1401,False
前回のおさらい,BackgroundImage,731,476,1562,True
前回のおさらい,NextMessageArrowDownImage,655,440,2126,True
前回のおさらい,MainMessageBubbleImage,655,440,2298,False
前回のおさらい,MainMessageBubbleImage,655,440,2469,True
前回のおさらい,NextPageAfterImage,731,485,2861,True
前回のおさらい,BackgroundImage,731,485,3084,True
前回のおさらい,BranchButton1Image,475,176,3867,True
漫画購読,MangaFlipArrowImage,650,472,11552,True
漫画購読,MangaFlipArrowImage,650,481,11905,True
漫画購読,NextPageAfterImage,721,473,12550,True
赤丸くんはどうして犬が苦手なんだろう？,NextPageAfterImage,721,473,12736,True
赤丸くんはどうして犬が苦手なんだろう？,BackgroundImage,721,473,12907,True
赤丸くんはどうして犬が苦手なんだろう？,BackgroundImage,721,473,13077,True
赤丸くんはどうして犬が苦手なんだろう？,NextMessageArrowDownImage,646,442,13616,True
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,646,442,13809,False
赤丸くんはどうして犬が苦手なんだろう？,NextMessageArrowDownImage,646,442,13988,True
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,659,441,14193,False
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,659,441,14364,True
赤丸くんはどうして犬が苦手なんだろう？,NextPageAfterImage,693,467,14799,True
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,693,467,14988,False
赤丸くんはどうして犬が苦手なんだろう？,NextPageAfterImage,693,467,15182,True
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,693,467,15351,False
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,693,467,15549,True
赤丸くんはどうして犬が苦手なんだろう？,NextMessageArrowDownImage,660,440,16038,True
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,660,440,16247,False
赤丸くんはどうして犬が苦手なんだろう？,NextMessageArrowDownImage,660,440,16505,True
赤丸くんはどうして犬が苦手なんだろう？,NextMessageArrowDownImage,660,440,16738,True
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,660,440,16925,False
赤丸くんはどうして犬が苦手なんだろう？,MainMessageBubbleImage,660,440,17142,True
赤丸くんはどうして犬が苦手なんだろう？,NextPageAfterImage,716,479,17487,True
赤丸くんはどうして犬が苦手なんだろう？,BackgroundImage,716,479,17674,False
赤丸くんはどうして犬が苦手なんだろう？,NextPageAfterImage,716,479,17891,True
チャレンジタイム 開始,BackgroundImage,701,469,18140,False
チャレンジタイム 開始,NextPageAfterImage,701,469,18335,True
チャレンジタイム 開始,NextPageAfterImage,701,469,18505,True
チャレンジタイム 開始,NextPageAfterImage,701,469,18675,True
チャレンジタイム 開始,NextPageAfterImage,701,469,18841,True
チャレンジタイム 開始,NextPageAfterImage,701,469,19144,True
チャレンジタイム 開始,BackgroundImage,701,469,19332,False
チャレンジタイム 開始,BackgroundImage,701,469,19517,True
チャレンジタイム 開始,BackgroundImage,701,469,19713,True
チャレンジタイム 開始,NextMessageArrowDownImage,644,436,20103,True
チャレンジタイム 開始,MainMessageBubbleImage,644,436,20289,False
チャレンジタイム 開始,NextPageAfterImage,694,461,20906,True
チャレンジタイム 開始,NextPageAfterImage,694,461,21115,True
チャレンジタイム 開始,BackPageBeforeImage,72,478,22393,True
チャレンジタイム 開始,NotGoodEventItemsControl,132,115,23358,True
チャレンジタイム 開始,NotGoodEventItemsControl,126,132,23593,True
チャレンジタイム 開始,NotGoodEventItemsControl,123,147,23826,True
チャレンジタイム 開始,NotGoodEventItemsControl,123,127,24441,True
チャレンジタイム 開始,NotGoodEventItemsControl,121,161,24901,True
チャレンジタイム 開始,NotGoodEventItemsControl,121,183,25258,True
チャレンジタイム 開始,NotGoodEventItemsControl,124,203,25673,True
チャレンジタイム 開始,NotGoodEventItemsControl,130,223,26165,True
チャレンジタイム 開始,NotGoodEventItemsControl,135,247,26608,True
チャレンジタイム 開始,NotGoodEventItemsControl,131,302,27179,True
チャレンジタイム 開始,NotGoodEventItemsControl,135,329,27616,True
チャレンジタイム 開始,NotGoodEventItemsControl,141,345,28348,True
チャレンジタイム 開始,NotGoodEventItemsControl,149,370,28762,True
チャレンジタイム 開始,NotGoodEventItemsControl,252,118,29472,True
チャレンジタイム 開始,NotGoodEventItemsControl,259,139,29793,True
チャレンジタイム 開始,NotGoodEventItemsControl,268,171,30128,True
チャレンジタイム 開始,NotGoodEventItemsControl,329,337,30915,True
チャレンジタイム 開始,NotGoodEventItemsControl,320,361,31129,True
チャレンジタイム 開始,NotGoodEventItemsControl,464,152,31568,True
チャレンジタイム 開始,NotGoodEventItemsControl,467,341,31910,True
チャレンジタイム 開始,NotGoodEventItemsControl,514,382,32136,True
チャレンジタイム 開始,NotGoodEventItemsControl,689,351,32409,True
チャレンジタイム 開始,NotGoodEventItemsControl,642,189,32853,True
チャレンジタイム 開始,NotGoodEventItemsControl,641,189,33032,True
チャレンジタイム 開始,NotGoodEventItemsControl,635,154,33234,True
チャレンジタイム 開始,NextPageAfterImage,718,465,34565,True
チャレンジタイム 開始,NextPageAfterImage,699,464,44777,True
